parcel_ID,weight (kg),volume (m^3)
CL3#137,88.8,0.694
CL3#138,314.2,0.838
CL3#139,230.4,0.252
CL3#140,130.6,0.98
CL3#141,276.7,0.773
CL3#142,234.7,0.937
CL3#143,229,0.964
CL3#144,282.2,0.312
CL3#145,204.4,0.611
CL3#146,281.1,0.444
CL3#147,252.9,0.501
CL3#148,211.1,0.803
CL3#149,206.9,0.607
CL3#150,198.5,0.481
CL3#151,291.3,0.755
CL3#152,265.3,0.562
CL3#153,196,0.808
CL3#154,276,0.696
CL3#155,164.1,0.543
CL3#156,240.3,0.942
CL3#157,264.7,0.829
CL3#158,198.2,0.461
CL3#159,229.7,0.412
CL3#160,144.1,0.684
CL3#161,264.6,0.684
CL3#162,129.8,0.609
CL3#163,212.4,0.46
CL3#164,184.1,0.844
CL3#165,358.2,0.369
CL3#166,250.4,0.538
CL3#167,236.1,1.101
CL3#168,173.6,0.484
CL3#169,317.6,0.21
CL3#170,342.7,0.795
CL3#171,246,0.65
CL3#172,120.9,0.671
CL3#173,229.6,0.468
CL3#174,151.8,0.437
CL3#175,127.8,0.392
CL3#176,267.3,0.645
CL3#177,338.1,0.468
CL3#178,272.9,0.651
CL3#179,168.6,0.679
CL3#180,319.8,0.661
CL3#181,98.8,0.77
CL3#182,196.9,0.76
CL3#183,157.4,0.91
CL3#184,275.6,0.459
CL3#185,106.8,0.703
CL3#186,155.5,0.804
CL3#187,153.9,0.643
CL3#188,261.2,0.448
CL3#189,47.7,0.749
CL3#190,205.9,0.59
CL3#191,247.5,0.654
CL3#192,147.9,0.823
CL3#193,154.7,0.487
CL3#194,335.7,0.611
CL3#195,130.6,0.593
CL3#196,191.2,0.491
CL3#197,161.1,0.558
CL3#198,283.9,0.503
CL3#199,279.1,0.928
CL3#200,273.1,0.442
CL3#201,164.8,0.443
CL3#202,309.9,0.661
CL3#203,364.2,0.794
CL3#204,116.4,0.785
CL3#205,103.6,0.421
CL3#206,243.8,0.49
CL3#207,287,0.591
CL3#208,203.5,0.398
CL3#209,242,1.002
CL3#210,228.9,0.885
CL3#211,281.1,0.766
CL3#212,161.8,0.53
CL3#213,300,0.293
CL3#214,222,0.739
CL3#215,310.9,0.63
CL3#216,148.6,0.364
CL3#217,222.1,0.746
CL3#218,153.4,1.005
CL3#219,386.9,0.838
CL3#220,168,0.511
CL3#221,218.2,0.689
CL3#222,261.3,0.768
CL3#223,87.2,0.737
CL3#224,148.9,0.464
CL3#225,301.7,1
CL3#226,237.6,0.57
CL3#227,83,0.617
CL3#228,1.8,0.731
CL3#229,190.8,0.626
CL3#230,243.7,0.788
CL3#231,73.2,0.791
CL3#232,52.2,0.762
CL3#233,256,0.462
CL3#234,217.8,0.404
CL3#235,153.6,0.841
CL3#236,218.8,0.476
CL3#237,47.4,0.45
CL3#238,222.1,0.682
CL3#239,249.9,0.597
CL3#240,66.9,1.022
CL3#241,238.6,0.592
CL3#242,196.4,0.846
CL3#243,214.3,0.537
CL3#244,246.7,0.745
CL3#245,170,0.799
CL3#246,152.4,0.492
CL3#247,66.9,0.708
CL3#248,211.4,0.393
CL3#249,199.8,0.522
CL3#250,190.6,0.617
CL3#251,213.2,1.125
CL3#252,135,0.391
CL3#253,179.7,0.833
CL3#254,105.2,0.767
CL3#255,143.2,0.585
CL3#256,164.7,0.551
CL3#257,263.8,0.677
CL3#258,178.5,0.843
CL3#259,126.5,0.614
CL3#260,185.3,0.85
CL3#261,129.3,0.596
CL3#262,272.1,0.334
CL3#263,212.3,0.565
CL3#264,163.5,0.497
CL3#265,289.8,0.543
CL3#266,206.5,0.665
CL3#267,312.1,0.458
CL3#268,118.9,0.734
CL3#269,331.1,0.639
CL3#270,106.6,0.522
CL3#271,166.4,0.546
CL3#272,115.3,0.408
CL3#273,253,0.604
CL3#274,253.7,0.635
CL3#275,112.8,0.772
CL3#276,207.9,0.59
CL3#277,203,0.492
CL3#278,257.1,0.605
CL3#279,183.8,0.438
CL3#280,217.6,0.553
CL3#281,214.7,0.775
CL3#282,289.3,0.845
CL3#283,253.3,0.865
CL3#284,190.1,0.337
CL3#285,244.8,0.608
CL3#286,178.7,0.658
CL3#287,244.1,0.786
CL3#288,160.5,0.763
CL3#289,156.1,0.56
CL3#290,201.7,0.573
CL3#291,173.9,0.496
CL3#292,131.6,0.435
CL3#293,161.2,0.633
CL3#294,113,0.486
CL3#295,260.3,0.888
CL3#296,224.4,0.966
CL3#297,171,0.743
CL3#298,158.4,1.078
CL3#299,293.9,0.686
CL3#300,238.6,0.365
CL3#301,134.4,0.938
CL3#302,228.3,0.574
CL3#303,221.4,0.424
CL3#304,130.4,0.796
CL3#305,128.1,0.34
CL3#306,144.4,0.477
CL3#307,165.3,0.734
CL3#308,152,0.836
CL3#309,65.7,0.438
CL3#310,187.1,0.449
CL3#311,117.6,0.643
CL3#312,196.2,0.626
CL3#313,151.9,0.739
CL3#314,307.3,0.501
CL3#315,140.5,0.582
CL3#316,240.6,0.806
CL3#317,144.6,0.228
CL3#318,268.2,1.072
CL3#319,241.3,0.929
CL3#320,171.6,0.495
CL3#321,236.3,0.784
CL3#322,192.5,0.666
CL3#323,235.7,0.72
CL3#324,146.7,0.708
CL3#325,81.3,0.486
CL3#326,178.9,0.667
CL3#327,154.3,0.422
CL3#328,107.6,0.733
CL3#329,289.3,0.722
CL3#330,252.5,1.099
CL3#331,104.5,0.448
CL3#332,222.1,0.813
CL3#333,285.5,0.77
CL3#334,156,0.674
CL3#335,224.5,0.704
CL3#336,288.1,0.741
CL3#337,196.5,0.657
CL3#338,247.8,0.945
CL3#339,144.2,0.642
CL3#340,393.4,0.77
CL3#341,257.6,0.677
CL3#342,255.7,0.776
CL3#343,165.1,0.64
CL3#344,155.1,0.841
CL3#345,152.4,0.453
CL3#346,143.4,0.563
CL3#347,156.2,0.443
CL3#348,95.3,0.692
CL3#349,163.5,0.475
CL3#350,318.8,0.589
CL3#351,141.8,0.905
CL3#352,194.4,0.785
CL3#353,175.8,0.466
CL3#354,140.3,0.483
CL3#355,162.1,0.76
CL3#356,166.3,0.66
CL3#357,72.8,0.941
CL3#358,270.2,0.729
CL3#359,240.1,0.813
CL3#360,182.2,0.979
CL3#361,205.7,0.402
CL3#362,252.3,0.783
CL3#363,176.4,0.61
CL3#364,236.1,0.749
CL3#365,136.2,0.698
CL3#366,358.5,0.732
CL3#367,30.1,0.364
CL3#368,315.7,0.952
CL3#369,285.3,0.822
CL3#370,154,0.464
CL3#371,185.9,0.662
CL3#372,227.3,0.679
CL3#373,74,0.822
CL3#374,231.6,0.735
CL3#375,191,0.679
CL3#376,193.4,0.247
CL3#377,141.3,0.677
CL3#378,220.6,0.619
CL3#379,111,0.717
CL3#380,107.2,0.53
CL3#381,176.4,0.698
CL3#382,173.8,0.633
CL3#383,107.6,0.654
CL3#384,202.4,0.735
CL3#385,178.6,0.877
CL3#386,164.3,0.572
CL3#387,255.2,0.62
CL3#388,141.4,0.49
CL3#389,138.8,0.697
CL3#390,221,0.429
CL3#391,171.2,0.459
CL3#392,176.1,0.502
CL3#393,24.2,0.701
CL3#394,210.4,0.572
CL3#395,115.8,0.817
CL3#396,178.7,0.882
CL3#397,117.5,0.676
CL3#398,203,0.572
CL3#399,151.9,0.439
CL3#400,112.4,0.662
CL3#401,209.1,0.469
CL3#402,202.8,1.07
CL3#403,242.1,0.473
CL3#404,305.5,0.591
CL3#405,102.3,0.788
CL3#406,199.2,0.833
CL3#407,140.3,0.357
CL3#408,247.6,0.928
CL3#409,90.5,0.654
CL3#410,171.5,0.652
CL3#411,218.3,0.544
CL3#412,151.9,0.585
CL3#413,218,0.668
CL3#414,241.9,0.791
CL3#415,243.5,0.917
CL3#416,233.7,0.269
CL3#417,78.6,0.792
CL3#418,81.7,1.009
CL3#419,253.3,0.556
CL3#420,117.7,0.492
CL3#421,213.7,0.599
CL3#422,243.2,0.582
CL3#423,186.1,0.678
CL3#424,200,0.248
CL3#425,173,0.53
CL3#426,160.3,1.093
CL3#427,236.4,0.613
CL3#428,157.3,0.602
CL3#429,142,1.061
CL3#430,152.6,0.783
CL3#431,212.7,0.944
CL3#432,107.9,0.671
CL3#433,167.2,0.54
CL3#434,120.4,0.498
CL3#435,205.2,0.342
CL3#436,189,0.718
CL3#437,202.2,0.752
CL3#438,138.5,0.474
CL3#439,282.3,0.5
CL3#440,193.5,0.458
CL3#441,168.3,0.288
CL3#442,235.2,0.45
CL3#443,177,0.219
CL3#444,153.8,0.595
CL3#445,322.7,0.691
CL3#446,298.2,0.481
CL3#447,192.1,0.508
CL3#448,103.2,0.752
CL3#449,220.3,0.72
CL3#450,159.9,0.681
CL3#451,172.7,1.024
CL3#452,170.2,0.358
CL3#453,218.2,0.353
CL3#454,245.2,0.481
CL3#455,206.8,0.839
CL3#456,99.7,0.728
CL3#457,254,0.515
CL3#458,184.7,0.704
CL3#459,134.7,0.185
CL3#460,127.9,0.818
CL3#461,263.8,0.761
CL3#462,153.5,0.391
CL3#463,283.8,0.804
CL3#464,147.9,0.213
CL3#465,113.8,0.632
CL3#466,309.6,0.581
CL3#467,205,0.428
CL3#468,215.3,0.649
CL3#469,158,0.532
CL3#470,92,0.372
CL3#471,192.9,0.692
CL3#472,302.1,0.551
CL3#473,221.7,0.836
CL3#474,105.8,0.252
CL3#475,247,0.981
CL3#476,216.3,0.556
CL3#477,202,0.385
CL3#478,280.4,0.762
CL3#479,207,0.809
CL3#480,103.8,1.015
CL3#481,76.7,0.559
CL3#482,171.4,0.157
CL3#483,268.7,0.916
CL3#484,155.8,0.236
CL3#485,173.1,0.564
CL3#486,207.6,0.462
CL3#487,246.5,0.626
CL3#488,214.2,0.717
CL3#489,198.6,0.837
CL3#490,170.7,0.7
CL3#491,257.4,0.447
CL3#492,234.9,0.976
CL3#493,140.4,0.538
CL3#494,246.2,0.667
CL3#495,244.1,0.58
CL3#496,135.9,0.631
CL3#497,222.5,1.08
CL3#498,232.1,0.615
CL3#499,287.2,0.805
CL3#500,136.9,0.471
CL3#501,204,0.399
CL3#502,199.1,0.793
CL3#503,38.4,0.867
CL3#504,191.4,0.685
CL3#505,86,0.663
CL3#506,146,0.763
CL3#507,196.5,0.554
CL3#508,247.5,0.823
CL3#509,313.5,0.274
CL3#510,193.1,0.453
CL3#511,174.3,0.945
CL3#512,270,0.837
CL3#513,195.5,0.715
CL3#514,251.1,0.771
CL3#515,188.2,0.559
CL3#516,143.1,0.942
CL3#517,231.5,0.439
CL3#518,321.1,0.799
CL3#519,184.7,0.835
CL3#520,123.5,1.017
CL3#521,116.5,0.691
CL3#522,149.5,0.566
CL3#523,104.5,0.986
CL3#524,226.3,0.877
CL3#525,201.1,0.672
CL3#526,182.8,0.267
CL3#527,134.2,0.745
CL3#528,98.3,1.007
CL3#529,101.4,0.631
CL3#530,127.5,0.601
CL3#531,262.8,0.309
CL3#532,258.8,0.653
CL3#533,272.4,0.281
CL3#534,183.3,0.823
CL3#535,203.2,0.521
CL3#536,261.6,0.756
CL3#537,291.6,0.792
CL3#538,181.3,0.461
CL3#539,146.4,0.566
CL3#540,294.8,0.767
CL3#541,207.8,0.352
CL3#542,138.4,0.628
CL3#543,191,0.551
CL3#544,267.9,0.288
CL3#545,296.1,1.065
CL3#546,301.1,0.777
CL3#547,164,0.669
CL3#548,76.1,0.68
CL3#549,277.6,0.762
CL3#550,178,0.901
CL3#551,163.4,0.819
CL3#552,139.4,0.604
CL3#553,190.1,0.773
CL3#554,303.1,0.67
CL3#555,340.9,0.897
CL3#556,106.9,0.504
CL3#557,267.7,0.52
CL3#558,190.2,0.757
CL3#559,160.2,0.848
CL3#560,36.8,0.388
CL3#561,40.8,0.643
CL3#562,234.4,0.518
CL3#563,302.7,0.733
CL3#564,231.8,1.023
CL3#565,222.7,0.956
CL3#566,170.3,0.803
CL3#567,264.7,0.675
CL3#568,152.7,0.676
CL3#569,120.7,0.493
CL3#570,191.5,0.672
CL3#571,323.9,0.544
CL3#572,193.3,0.846
CL3#573,215.6,0.616
CL3#574,309.5,0.581
CL3#575,230.9,0.388
CL3#576,291.7,0.592
CL3#577,141.2,0.595
CL3#578,359.6,0.758
CL3#579,218.3,0.568
CL3#580,198.4,0.69
CL3#581,134.4,0.707
CL3#582,204.3,0.69
CL3#583,73.1,0.566
CL3#584,112.9,0.597
CL3#585,206.1,0.481
CL3#586,367,0.816
CL3#587,251.5,0.757
CL3#588,178.4,1.024
CL3#589,277,0.736
CL3#590,302.2,0.261
CL3#591,102.2,0.321
CL3#592,70.7,0.508
CL3#593,228.3,0.439
CL3#594,268,0.583
CL3#595,99.2,0.687
CL3#596,161.2,0.369
CL3#597,262.3,0.632
CL3#598,127.6,0.286
CL3#599,235.3,0.66
CL3#600,257.7,0.927
CL3#601,142.2,0.613
CL3#602,222.1,0.766
CL3#603,327.3,0.926
CL3#604,104.6,0.247
CL3#605,91.3,0.655
CL3#606,278.4,0.76
CL3#607,24.8,0.635
CL3#608,309.2,0.564
CL3#609,162.4,0.533
CL3#610,144.9,0.542
CL3#611,145.8,0.758
CL3#612,142.2,0.466
CL3#613,192.3,0.579
CL3#614,187.8,0.818
CL3#615,143.3,0.857
CL3#616,299.8,0.448
CL3#617,157,0.792
CL3#618,255.4,0.714
CL3#619,175.6,0.924
CL3#620,129,0.931
CL3#621,318.8,0.632
CL3#622,156.7,0.719
CL3#623,190.7,0.47
CL3#624,208.2,0.38
CL3#625,265.3,0.77
CL3#626,148.1,0.715
CL3#627,314.1,0.551
CL3#628,161.9,0.741
CL3#629,273.1,0.453
CL3#630,234.3,0.427
CL3#631,293.4,0.578
CL3#632,361.4,0.436
CL3#633,135.7,0.674
CL3#634,220,0.723
CL3#635,285.7,0.754
CL3#636,265.4,0.71
CL3#637,226.3,0.401
CL3#638,123.9,0.866
CL3#639,250.7,0.56
CL3#640,238.6,0.567
CL3#641,156.2,0.552
CL3#642,299.8,0.834
CL3#643,182.8,0.375
CL3#644,123.1,0.56
CL3#645,175.4,0.902
CL3#646,161.8,0.418
CL3#647,136,0.543
CL3#648,314.1,0.411
CL3#649,312.7,0.628
CL3#650,161.7,0.832
CL3#651,223.2,0.43
CL3#652,173.3,0.684
CL3#653,264.5,0.716
CL3#654,187.7,0.841
CL3#655,289.4,0.489
CL3#656,193.3,0.57
CL3#657,77.3,0.941
CL3#658,189,0.779
CL3#659,129.5,0.503
CL3#660,158.7,0.855
CL3#661,224.3,0.99
CL3#662,167.5,0.426
CL3#663,153.7,0.766
CL3#664,126.3,0.8
CL3#665,140.7,0.539
CL3#666,127.2,0.652
CL3#667,153.8,0.771
CL3#668,320.4,0.443
CL3#669,128.7,0.726
CL3#670,207,0.296
CL3#671,188.6,0.926
CL3#672,101.7,0.699
CL3#673,233.8,0.198
CL3#674,160,0.988
CL3#675,217.9,0.933
CL3#676,134.6,0.556
CL3#677,147.6,0.654
CL3#678,316.8,0.619
CL3#679,183.9,0.426
CL3#680,191.4,0.728
CL3#681,138.4,0.84
CL3#682,161.7,0.743
CL3#683,299.2,0.669
CL3#684,159.1,0.765
CL3#685,185.7,0.66
CL3#686,156,0.781
CL3#687,189,0.464
CL3#688,269.8,0.634
CL3#689,215.5,0.691
CL3#690,315.1,1.195
CL3#691,225.4,0.598
CL3#692,56.1,0.523
CL3#693,221.1,0.439
CL3#694,140,0.394
CL3#695,268.9,0.567
CL3#696,244.9,0.392
CL3#697,295.3,0.717
CL3#698,200,0.474
CL3#699,113.4,0.59
CL3#700,206.2,0.557
CL3#701,65.9,0.514
CL3#702,280.7,0.744
CL3#703,267.5,0.773
CL3#704,32.1,0.436
CL3#705,267.4,1.033
CL3#706,222,0.486
CL3#707,187.6,0.617
CL3#708,132.5,0.783
CL3#709,348.9,0.796
CL3#710,39.1,0.639
CL3#711,128.3,0.57
CL3#712,195.4,0.875
CL3#713,126.3,0.865
CL3#714,187.7,0.844
CL3#715,142.3,0.538
CL3#716,193.4,0.428
CL3#717,133.4,0.419
CL3#718,135.1,0.591
CL3#719,117.1,0.411
CL3#720,312.5,0.535
CL3#721,108.4,0.523
CL3#722,240,0.268
CL3#723,130.4,0.52
CL3#724,217.7,0.727
CL3#725,170,0.748
CL3#726,172.4,0.978
CL3#727,250.7,0.563
CL3#728,63.8,0.545
CL3#729,405.4,0.442
CL3#730,143.5,0.416
CL3#731,116.1,0.589
CL3#732,161.5,0.471
CL3#733,315.5,0.584
CL3#734,18.6,0.733
CL3#735,111.4,0.351
CL3#736,69.4,0.456
CL3#737,314.3,0.357
CL3#738,222.6,0.577
CL3#739,26.3,0.781
CL3#740,102.6,0.676
CL3#741,229.6,0.909
CL3#742,136.8,0.532
CL3#743,64.3,0.895
CL3#744,266.7,0.628
CL3#745,-13.5,0.303
CL3#746,179.8,0.505
CL3#747,235.9,0.412
CL3#748,143,0.405
CL3#749,130.6,0.974
CL3#750,275,0.459
CL3#751,169.8,0.682
CL3#752,102.4,0.631
CL3#753,253.1,0.343
CL3#754,194.4,0.79
CL3#755,306.3,0.432
CL3#756,112.6,0.868
CL3#757,321.5,0.957
CL3#758,124.1,0.887
CL3#759,270.8,0.313
CL3#760,212.2,0.634
CL3#761,282.3,0.685
CL3#762,199.6,0.429
CL3#763,182,0.705
CL3#764,187.7,0.59
CL3#765,216.2,0.839
CL3#766,160.4,0.7
CL3#767,131.4,0.949
CL3#768,208.8,0.736
CL3#769,233.1,0.701
CL3#770,232.8,0.664
CL3#771,142,0.79
CL3#772,272.1,0.503
CL3#773,337.6,0.513
CL3#774,230.7,0.184
CL3#775,186.9,0.811
CL3#776,139.7,0.417
CL3#777,245.7,0.533
CL3#778,249.1,0.568
CL3#779,127.3,0.049
CL3#780,176.5,1.109
CL3#781,233.2,0.849
CL3#782,289.7,0.547
CL3#783,303.8,0.557
CL3#784,181.9,0.428
CL3#785,275.8,0.736
CL3#786,129.6,0.564
CL3#787,233.1,0.337
CL3#788,193.6,0.718
CL3#789,161.6,0.735
CL3#790,250.6,0.663
CL3#791,140,0.249
CL3#792,154.3,0.659
CL3#793,88.6,0.837
CL3#794,238.3,0.693
CL3#795,196.3,1.007
CL3#796,249.2,0.63
CL3#797,100.7,0.517
CL3#798,241.3,0.501
CL3#799,242,0.497
CL3#800,208.3,0.831
CL3#801,131.6,0.591
CL3#802,217.7,0.395
CL3#803,196.9,0.73
CL3#804,192.3,0.481
CL3#805,263.2,0.265
CL3#806,213.3,0.374
CL3#807,295.9,1.134
CL3#808,228.8,0.643
CL3#809,227.3,0.854
CL3#810,140.8,0.48
CL3#811,82.9,0.374
CL3#812,179.2,0.374
CL3#813,204.7,0.545
CL3#814,134.4,0.617
CL3#815,216.2,0.909
CL3#816,310.5,0.587
CL3#817,129.8,0.96
CL3#818,304.8,0.638
CL3#819,226.7,0.713
CL3#820,220,0.919
CL3#821,182.4,0.764
CL3#822,135.7,0.665
CL3#823,197.8,0.74
CL3#824,352.7,0.51
CL3#825,177.9,0.666
CL3#826,234.3,0.59
CL3#827,225.2,0.877
CL3#828,99.7,0.582
CL3#829,276.6,0.965
CL3#830,281.3,0.814
CL3#831,300.8,0.78
CL3#832,36,0.814
CL3#833,164.8,0.261
CL3#834,165.8,0.597
CL3#835,152.5,0.58
CL3#836,143.3,0.706
CL3#837,258.1,0.815
CL3#838,173.1,0.211
CL3#839,301.7,0.564
CL3#840,245,0.299
CL3#841,134.8,0.552
CL3#842,200.4,0.775
CL3#843,232.3,0.706
CL3#844,136.2,0.495
CL3#845,5.2,0.893
CL3#846,176,0.513
CL3#847,191.8,0.901
CL3#848,92.8,0.846
CL3#849,144.8,0.695
CL3#850,284.2,0.553
CL3#851,219.1,0.588
CL3#852,190,0.548
CL3#853,250.3,0.704
CL3#854,121.2,0.502
CL3#855,171.8,0.559
CL3#856,90.1,0.929
CL3#857,151.3,0.536
CL3#858,199.1,0.809
CL3#859,205.3,0.38
CL3#860,221.7,0.511
CL3#861,164.9,0.703
CL3#862,216.2,0.804
CL3#863,221.3,0.697
CL3#864,184.1,0.443
CL3#865,67.8,0.935
CL3#866,367.9,0.679
CL3#867,181.2,0.6
CL3#868,193,0.567
CL3#869,289.9,0.735
CL3#870,111.4,0.74
CL3#871,188.8,0.33
CL3#872,261.4,0.559
CL3#873,294,0.628
CL3#874,233.9,0.651
CL3#875,181.9,0.46
CL3#876,232.2,0.896
CL3#877,352.8,0.959
CL3#878,139.3,0.371
CL3#879,117.2,0.95
CL3#880,236.4,0.584
CL3#881,266.1,0.672
CL3#882,288.9,0.704
CL3#883,158.4,0.858
CL3#884,255.7,0.433
CL3#885,53.2,0.31
CL3#886,162,0.481
CL3#887,205.1,0.635
CL3#888,284.9,0.487
CL3#889,239.2,0.742
CL3#890,58.6,0.72
CL3#891,194.5,0.292
CL3#892,171.7,0.739
CL3#893,174.5,0.851
CL3#894,128.3,0.524
CL3#895,148.4,0.545
CL3#896,109.5,0.34
CL3#897,146,0.89
CL3#898,179.4,0.383
CL3#899,280.1,0.922
CL3#900,252.5,0.373
CL3#901,297.9,0.853
CL3#902,225,0.638
CL3#903,217.5,0.534
CL3#904,156.3,0.715
CL3#905,167.4,0.632
CL3#906,32.4,0.807
CL3#907,138.2,0.919
CL3#908,184,0.486
CL3#909,286.9,0.772
CL3#910,134.6,0.694
CL3#911,203.3,0.375
CL3#912,149.6,0.638
CL3#913,199.5,0.785
CL3#914,245.6,0.532
CL3#915,236.6,0.709
CL3#916,254.2,0.376
CL3#917,340.1,0.544
CL3#918,345.4,0.833
CL3#919,258.6,0.534
CL3#920,164.7,0.635
CL3#921,167.6,0.716
CL3#922,137.7,0.776
CL3#923,267.6,0.444
CL3#924,171.7,0.541
CL3#925,248.6,0.546
CL3#926,160.8,0.593
CL3#927,103.2,0.588
CL3#928,222.6,0.508
CL3#929,218.2,0.852
CL3#930,184.1,0.496
CL3#931,166.8,0.868
CL3#932,226.7,0.652
CL3#933,91.4,0.427
CL3#934,156.5,0.709
CL3#935,215,0.662
CL3#936,109,0.566
CL3#937,105.9,0.666
CL3#938,133.2,0.557
CL3#939,151.1,0.76
CL3#940,105.2,0.537
CL3#941,115.6,0.427
CL3#942,333,0.321
CL3#943,179.1,0.789
CL3#944,285.6,0.473
CL3#945,229.3,0.314
CL3#946,230.5,0.59
CL3#947,218.2,0.209
CL3#948,250.4,0.821
CL3#949,177.2,0.946
CL3#950,173.9,0.609
CL3#951,160.1,0.735
CL3#952,205,1.208
CL3#953,217.1,0.547
CL3#954,258,0.76
CL3#955,109.4,0.757
CL3#956,87.4,0.868
CL3#957,154.8,0.702
CL3#958,164.2,0.77
CL3#959,248.7,0.853
CL3#960,257.7,0.537
CL3#961,175.8,0.579
CL3#962,147.7,0.558
CL3#963,214.8,0.957
CL3#964,189.9,0.374
CL3#965,144,0.442
CL3#966,173.3,0.561
CL3#967,137.2,0.748
CL3#968,161.9,0.526
CL3#969,233,0.775
CL3#970,241.3,0.578
CL3#971,120.6,0.362
CL3#972,184.8,0.755
CL3#973,298.7,0.717
CL3#974,275.4,0.404
CL3#975,299,0.305
CL3#976,217.5,0.727
CL3#977,171.7,0.902
CL3#978,274.3,0.48
CL3#979,270.4,0.33
CL3#980,266.5,0.667
CL3#981,193.9,0.4
CL3#982,154.4,0.532
CL3#983,242.3,0.479
CL3#984,305.5,0.608
CL3#985,249.4,0.731
CL3#986,203,0.528
CL3#987,320.7,0.532
CL3#988,241.2,0.865
CL3#989,162.2,0.375
CL3#990,207.2,0.669
CL3#991,200,1.222
CL3#992,185.7,0.194
CL3#993,256.9,0.769
CL3#994,205,0.721
CL3#995,247.9,0.86
CL3#996,172.8,0.452
CL3#997,221.7,0.548
CL3#998,223.1,0.315
CL3#999,233.1,0.644
CL3#1000,245.7,0.414
CL3#1001,260.5,0.763
CL3#1002,155.6,0.52
CL3#1003,128.9,0.442
CL3#1004,306.4,0.532
CL3#1005,112.9,0.731
CL3#1006,189.5,0.655
CL3#1007,259,0.745
CL3#1008,114.4,0.407
CL3#1009,242.2,0.423
CL3#1010,202.7,0.719
CL3#1011,140.4,0.612
